lastAppOpened lastContextTriggered lastLocationUpdated packName
com.tencent.mm move else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla company com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.tencent.mm
com.tencent.mm idla else com.google.android.apps.messaging
com.google.android.apps.messaging idla else com.tencent.mm
com.tencent.mm idla else com.android.chrome
com.android.chrome idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla company com.tencent.mm
com.tencent.mm idla company com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla company com.google.android.apps.messaging
com.google.android.apps.messaging idla else com.tencent.mm
com.tencent.mm idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else vStudio.Android.Camera360
vStudio.Android.Camera360 idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.tencent.mm
com.tencent.mm idla else com.tencent.mobileqq
com.tencent.mobileqq idla else com.tencent.mm
com.tencent.mm idla else com.tencent.mobileqq
com.tencent.mobileqq idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.tencent.mobileqq
com.tencent.mobileqq idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mobileqq
com.tencent.mobileqq idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla company com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.moji.mjweather
com.moji.mjweather idla else com.tencent.mm
com.tencent.mm idla else com.google.android.apps.messaging
com.google.android.apps.messaging idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla company com.google.android.apps.messaging
com.google.android.apps.messaging idla company com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla company com.google.android.dialer
com.google.android.dialer idla company com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm move else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla company com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla company com.google.android.dialer
com.google.android.dialer idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.google.android.dialer
com.google.android.dialer idla company com.tencent.mm
com.tencent.mm idla company com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else vStudio.Android.Camera360
vStudio.Android.Camera360 idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else vStudio.Android.Camera360
vStudio.Android.Camera360 idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
com.tencent.mm idla company com.tencent.mm
com.tencent.mm idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.google.android.googlequicksearchbox
com.google.android.googlequicksearchbox idla else com.tencent.mm
